value;variable
37193;tabare
21615;vazquez
12108;uruguay
7508;expresidente
6847;presidente
5537;fallecio
5080;pueblo
4711;lea
4542;uruguayo
3535;siempre
2996;america
2862;frente
2852;condolencias
2816;familia
2744;latina
2729;hoy
2704;muerte
2652;fallecimiento
2504;pais
2392;amplio
2385;legado
2318;amigos
2075;politica
1997;izquierda
1987;amigo
1939;gracias
1744;macri
1689;gobierno
1616;vida
1576;familiares
1524;argentina
1425;ser
1392;dia
1370;paz
1336;grande
1327;socialdemocrata
1268;solidaridad
1262;companero
1246;qepd
1222;nadie
1215;exitoso
1197;uruguayos
1183;experimento
1175;abrazo
1150;gran
1145;democracia
1142;anos
1134;patria
1128;relacion
1120;representaron
1100;gigante
1100;presidentes
1092;alferdez
1084;querido
1075;gobiernos
1064;despide
1055;historia
998;lacalle
994;politico
984;cristina
977;verso
970;vendiendo
934;video
932;diferencia
908;momentos
908;pou
886;palabras
869;descanse
855;escuela
847;lamento
844;peronismo
833;profundamente
814;bachelet
811;hermano
800;nunca
798;murio
790;presidencia
786;duelo
785;sentido
780;amor
771;republica
757;montevideo
746;seres
737;sigan
734;plan
730;honesto
725;dejen
721;tiempo
720;mentir
718;lucha
710;hombre
710;respeto
708;gente
700;enorme
695;queridos
692;reconstruyeron
692;uruguai
682;grandes
672;partida
669;dolor
664;pesar
663;companeros
656;lider
641;integracion
641;president
622;hacen
616;compungidos
614;hocico
613;solo
610;paso
606;nieta
606;refregarles
600;recuerdo
589;allegados
585;miles
585;nacional
580;bien
580;cosas
574;emocion
569;hacer
569;personas
566;memoria
565;homenaje
563;bueno
561;reflexion
559;luto
556;afecto
547;mujica
544;social
543;cuba
542;sentidas
541;inmenso
541;permanecera
540;decades
538;general
537;despedida
535;ultima
532;batlle
528;deja
525;clase
525;publica
521;generaciones
520;medico
517;ahora
516;dialogo
516;vivo
506;ceibal
504;binner
500;diferencias
500;felt
489;corazon
487;salud
485;comienza
478;lamentamos
473;dirigente
473;lucho
470;ideal
468;noticia
459;people
458;consolidar
456;primer
452;causa
452;popular
451;acontece
448;encuestologo
448;resistencia
444;ayudo
441;nuevas
439;kirchner
439;representacion
438;aquel
438;nestor
432;aborto
431;fortalecio
427;dias
426;veo
423;diciendo
421;lamentable
419;buen
414;fallecido
413;mercosur
412;lazos
412;llegada
412;pensamientos
407;frenteamplio
405;jorge
405;principios
404;agradecemos
393;creacion
390;llora
389;convicciones
386;adelante
386;alguna
386;vaya
385;compromiso
381;celac
380;cancer
379;mundo
379;unasur
377;manga
376;importantes
375;momento
375;veces
372;esperanza
372;tan
371;justicia
371;progresismo
371;teja
366;caballero
365;esquerda
365;logros
364;saludamos
360;comun
358;uruguayan
353;ceibalitas
352;creo
347;alma
345;obtuvo
344;partido
343;base
342;todas
340;seguro
338;calles
337;ejemplo
336;casa
336;leader
336;toco
333;nervios
332;paises
330;ceibalitos
330;esfuerzo
330;jefe
328;pulmon
327;haciendo
326;defensa
325;foto
325;juicio
324;piel
321;suerte
320;venezuela
318;opinion
317;flor
317;ordinario
315;democratico
315;lamenta
315;sumo
313;lata
313;mejor
312;muchas
310;jose
310;primeiro
309;disfrutar
308;futuro
307;diciembre
306;padre
306;perdida
302;condolences
302;enfrento
301;fought
300;reivindicacion
299;alto
298;ambos
298;eternamente
297;acompano
296;mano
294;personal
293;progreso
293;recordare
290;llego
290;toda
290;vos
285;triste
284;aplaude
284;dia
283;tapabocas
282;aglomeren
281;despues
280;menos
280;persona
279;internacional
278;humilde
277;usen
276;alegria
274;ayer
274;cada
273;relaciones
272;domingo
271;sirvio
268;passing
267;politicas
265;coraje
265;llegara
265;sinverguenza
262;carino
262;despidio
262;frenteamplista
262;pesame
261;barrio
261;honor
261;puso
261;region
260;instancias
259;gana
258;barraco
258;gano
257;posible
256;pepe
256;rindas
256;uruguaya
255;dijo
254;hacia
254;ninos
253;former
252;agradecimiento
252;dificil
251;dicen
249;batalla
249;sensible
248;impact
247;humano
247;mientras
247;ordinarios
244;viviras
243;mensaje
243;profesor
243;valoro
241;fiel
241;senora
240;azul
238;contentos
237;imagen
236;friend
236;victoria
235;celeste
234;club
234;dudas
234;permitiendo
234;roja
234;verde
233;fuertes
233;reconocimiento
233;serenidad
232;bisagra
231;igualdad
231;pte
230;gabinete
229;despiden
229;figura
226;lives
226;tema
225;oportunidad
225;unidad
224;champion
224;latinoamericana
224;llorar
224;poder
221;barbaridades
220;sistema
220;solidario
219;decreto
218;especial
218;prebelica
217;adversario
217;alarma
216;acordas
216;activar
215;pueblos
214;etapa
212;ampla
212;politicos
210;acto
210;veto
208;botnia
208;causas
208;revolucion
207;democraticas
207;vagos
206;defender
205;conoci
205;ninguno
204;descansa
204;friends
204;mal
204;mantener
201;escribe
201;hermanos
201;sacar
201;simbolo
200;envejecer
200;llegar
200;sinceras
200;tristeza
199;escuchar
199;httpstcowxrpehfz
199;primero
199;that
198;horas
198;intento
198;X..1
197;countless
197;especifica
197;health
196;cortejo
196;fecha
196;luchas
196;pasado
194;despedir
194;save
194;tener
192;abuelo
192;oficial
192;tabarevazquez
190;civilidad
190;entrega
190;seu
190;vamos
189;camino
189;maestro
188;adios
187;aporta
187;juntos
187;ultimos
187;vez
186;acompanado
186;ayuden
186;hijo
186;podia
185;dan
185;dejo
185;olvida
184;ano
184;increible
184;recordamos
183;inclusive
182;cambio
182;interes
181;febrero
181;material
180;httpstcowgwzvkyt
180;socialista
179;aplausos
179;aqui
179;fue
179;herrera
179;mostro
179;pastera
179;tobacco
178;habraconsecuencias
177;abiertadispuesta
177;aplauso
177;programa
176;profundo
176;silencio
175;envidiable
175;pela
175;puno
175;sociales
174;equidad
174;laburar
174;profunda
174;salieron
174;who
173;bold
173;bolivia
173;clima
173;httpstcocwqwsnwsnb
173;policies
171;fuerza
171;gesto
171;hacia
171;httpstcoeajomymu
171;pongase
170;cuenta
170;mismo
170;pregunto
170;ultimo
169;gines
168;antitobacco
168;frase
168;proceso
168;seguir
168;tenia
168;won
167;habilidad
167;parte
167;usan
166;global
166;implementing
166;quedo
166;tele
165;carla
165;falta
164;back
164;disculpo
164;viaje
163;aratiri
163;duro
163;huella
163;muere
162;aos
162;dando
162;darte
162;X.U.0001F54A..U.FE0F.
160;junto
160;plaza
160;quedara
160;X.U.270A..U.0001F3FD..U.2764..U.FE0F.
159;httpstcogcwtsbc
159;integridad
158;continuar
158;criterio
158;eldestaperadio
158;estas
158;funcionario
158;primera
158;van
157;aca
157;calientasol
156;despedimos
156;fray
156;httpstcomabpvegygq
155;apoyo
155;desaparecidos
155;sufrir
155;when
154;anonims
154;bajo
154;indeleble
154;mexico
154;ojos
154;perda
154;voces
153;deepest
153;encontrarian
153;lado
153;maria
153;perteneciente
153;policial
153;sindicato
152;carrera
152;motiva
152;retinas
152;simpatias
151;actividad
151;against
151;hablando
151;industry
151;largo
151;realidad
151;senor
151;X.U.0001F534..U.0001F535..U.26AA.
150;voy
149;him
149;lembrou
149;madre
149;tabarevazquez
149;vincularse
148;astori
148;consejo
148;record
148;time
147;derechos
147;fight
147;irreversible
147;ley
147;recibia
147;verguenza
146;apoyo
146;condeno
146;educacion
146;expresamos
146;liderazgo
145;brasileira
145;golpe
145;nombre
145;pidio
145;propio
145;tantos
145;uruguaio
144;decentes
144;dios
144;honestidad
144;httpstcoizzsgue
144;httpstcowacvmmund
144;ninez
143;despidiendo
143;fogon
143;httpstconigblrbq
143;inquebrantable
143;recordar
142;bentos
142;X..4
141;lindo
141;playa
141;rivero
140;morris
139;anecdota
139;suenos
138;forma
138;hablar
138;llevo
138;pouco
138;pro
137;contaminacion
137;economico
137;ganas
137;mandato
137;puede
137;trabajar
136;aprendizaje
136;chora
136;desintoxicar
136;dominante
136;extend
136;heartfelt
136;mediocridade
136;sigue
136;ultimas
135;fundadores
135;funebre
135;hicieron
135;impunidad
135;latinoamerica
135;X.U.0001F30E.
134;amistad
134;enfermedad
134;envidia
134;mafia
133;graciastabare
133;sujeto
132;hermana
132;hoje
132;ideas
132;incapacidad
130;com
130;funeral
130;nacion
130;sentir
130;ustedes
129;alberto
129;computadora
129;pocos
129;ramon
128;dic
128;fernandez
128;madrugada
127;covid
127;doctor
127;familiares.
127;forjar
127;morte
127;ningun
127;qepdtabare
127;velatorio
126;httpstcomsogzwdr
126;mascarilla
126;qual
126;recibio
125;curren
125;hitos
125;httpstcomqzyichiw
125;igual
125;mandatario
125;pinera
125;referente
124;comprometido
124;humana
124;movimento
124;parece
123;actual
123;ceibalita
123;intendencia
123;nacer
123;remeras
123;rendirse
122;acusaciones
122;argentino
122;equipos
122;impronta
122;peiroclaudia
121;cambiar
121;dejar
121;derecho
121;falsas
121;imposible
121;mayores
121;queremos
121;soporto
120;agradecer
120;consternacion
120;decir
120;deeply
120;donnino
120;facultad
120;fraternalmente
120;httpstcoaitqyzse
120;httpstcoellzh
120;nuestramerica
120;omonimar
120;palermitanio
120;portamanola
120;rickyrflores
120;rosarino
119;banderas
119;eleito
119;epoca
119;exponer
119;gpcolinas
119;httpstcoomghoy
119;inicio
119;taba
118;creer
118;desarrollo
118;diazcanelb
118;hora
118;httpstcouvzdxvsih
117;debe
117;mas
117;rosas
116;buenas
116;danilo
116;deporte
116;igualar
116;libro
116;mera
116;papeleras
116;reconoce
116;registro
116;traves
115;dio
115;via
114;consultores
114;httpstcorcbfqcgvag
114;infobae
114;nicho
114;this
113;companeras
113;dezurdateam
113;etc
113;gualeguaychu
113;hogar
113;miranda
113;missed
113;publico
113;saddened
113;tabaco
113;valor
112;evitar
112;hugoramosr
112;imagenes
112;llamarse
112;matar
112;sentimientos
111;existen
111;frontera
111;mezcla
111;obituario
111;pense
111;recibido
111;tumba
111;valores
110;alinearon
110;ciudadano
110;crecimiento
110;dep
110;descuentos
110;despidiendolo
110;encuestas
110;eterno
110;mensajes
110;retorica
110;vezes
110;X.U.0001F1FB..U.0001F1EA.
109;carta
109;corte
109;duas
109;empleadas
109;tratado
109;vision
108;buscando
108;decenas
108;decidio
108;descansaba
108;hablamos
108;oncologo
108;quebrara.
108;vidriosos
107;barco
107;carmelinavilch
107;greatly
107;marca
107;martes
107;pensar
106;died
106;exmandatario
106;httpstcotaooutvfd
106;intendente
106;regalados
106;soberania
105;darse
105;noche
105;recordaremos
105;vigente
104;ciudad
104;diga
104;gestion
104;instituciones
104;muito
104;phillips
104;recibir
104;sino
104;vivir
104;zinclaudio
103;about
103;asilo
103;digitalmente
103;dirigentes
103;escuchadistinto
103;iba
103;incluirse
103;roberto
102;brasil
101;enfrentar
101;futbol
101;hecho
101;httpstconzdtmppq
101;hunda
101;iniciativa
101;luego
101;muestras
101;nuevo
101;sociedad
101;X.U.0001F534.
100;cambio
100;escuche
100;inversiones
100;klub
100;oportunistas
99;claro
99;consintiendo
99;godeguille
99;httpstcooscxzepy
99;jaquemate
99;jdato
99;nadienadie
99;pepeluis
99;pilarri
98;aunque
98;chorros
98;gabriel
98;idolatramos
98;jmkarg
98;leyeron
98;manana
98;mausoleo
98;miguel
98;opinan
98;pueda
98;remember
98;sienten
98;venia
97;always
97;cuanto
97;democracia.
97;httpstcougbbtttx
97;kirchneristas
97;nota
97;piensen
97;postergados
97;progresista
96;arranco
96;batallas
96;coalicion
96;cuarta
96;dictadura
96;emotiva
96;morirse
96;rinde
96;termino
96;X.U.0001F1FA..U.0001F1FE.hlvs.U.FFFD..U.FFFD..U.FFFD.rojo
96;X.U.0001F399..U.FE0F.
95;cancer
95;carlos
95;dura
95;entendieron
95;entrevistas
95;hablan
95;meu
95;pobre
95;tipo
94;alentando
94;amante
94;decaiga
94;escalada
94;guerrita.
94;hablara
94;httpstcogdyrkrpbb
94;humanista
94;importancia
94;invento
94;justos.U.0001F490.
94;oriental
94;patoterismo
94;publicas
94;reglas
94;X.U.0001F4FB.
94;X.U.270C.
93;fundamentos
93;hija
93;httpstcodzfzinxsw
93;proyecto
92;contribuiu
92;edad
92;from
92;ideologia
92;inclusao
92;investigacion
92;loas
92;marcho
91;ajuste
91;analistas
91;atrasados
91;corazones
91;cuerpo
91;duda
91;estudiantil
91;internacionales
91;sinfin
91;X.respetado
90;argentinos
90;bloqueo
90;llorando
90;militantes
90;millones
90;pioneros
90;poca
90;romantico
90;venezolanas
90;verdad
90;X.U.0001F447.
89;casi
89;decision
89;httpstcofcmpxpax
89;perdi
89;unico
88;hilo
88;httpstcoawtgqul
88;respetos
88;sintio
88;vacia
87;emergencia
87;impuso
87;racional
87;X.U.0001F4F2.
86;aferrarse
86;costo
86;entiendo
86;faleceu
86;hijos
86;httpstcofxxahjmtl
86;mil
86;telesurtv
85;cuello
85;puerta
85;referendum
85;tabarevazquez
85;totalmente
85;transas
85;uruguayel
84;kirchnerismo
84;legisladores
84;populismo
84;precisaban
84;respetuosa
84;with
83;compartir
83;esposo
83;estadista
83;goberno
83;militares
83;mucha
83;pase
83;presente
83;separar
83;transmitir
82;entrego
82;festejaron
82;garcia
82;gobernadores
82;gobernante
82;lamafiachoriplanera
82;nombran
82;plena
82;qbad.U.2764..U.FE0F.
82;sabiamos
82;salvo
82;segurola
82;sudamericana
81;admiracion
81;cfcallejo
81;chorro
81;economicamente
81;ecuador
81;entonces
81;httpstcomnqtyaahql
81;outstanding
81;periodismo
81;periodistas
81;rcaballeroam
81;unas
80;autonomia
80;democratica
80;judia
80;lafone
80;lejos
80;lograron
80;militar
80;partir
80;perdon
80;salarios
80;sesgo
79;cerro
79;cientos
79;ejemplificacion
79;importante
79;mujer
79;viviente
78;alan
78;anos
78;caletriocarina
78;construccion
78;dear
78;fisica
78;latinoamericano
78;libre
78;medio
77;alta
77;capaz
77;delincuentes
77;democrata
77;entrevista
77;luis
77;pasaron
77;puedo
77;tropache
77;videoconferencias
77;world
77;X.U.270A..U.0001F3FC.
76;final
76;flores
76;franciscopesky
76;lee
76;maldonado
76;medicamentos
76;muertos
76;nievesvioleta
76;nino
76;ojala
76;oportunidades
76;salimos
76;serio
76;sfturco
76;viejo
76;virus
76;X.U.27A1..U.FE0F.
75;candidato
75;clausura
75;comenzamos
75;dar
75;desafios
75;etica
75;fundamental
75;guerra
75;hola
75;incluso
75;kozedhu
75;mejores
75;ocupo
75;queda
75;tantas
75;viendo
74;cuales
74;informacion
74;inolvidable
74;lamafiachori
74;mayoria
74;quedaran
74;segundo
74;sua
74;universitaria
73;america
73;charrua
73;ejemplar
73;gallito
73;luta
73;nobles
73;represento
73;sector
73;sencillas
73;trabajo
72;embargo
72;expresa
72;justo
72;maduro
72;peores
72;presidencial
72;transformar
71;balleriniok
71;difficult
71;heroede
71;hiciste
71;httpstcofsdyfnwkgn
71;medicos
71;poema
71;porlapatriavamosaandar
71;real
71;trascendente
71;venezuelavotaeld
70;cobertura
70;medicina
70;odio
70;povo
70;regional
70;saber
70;uds
70;una
69;acuerdan
69;agradecida
69;centro
69;cuentas
69;descanso
69;genera
69;ofrece
69;parlamentarias
69;pasteras
69;pitiaguirre
69;prepotencia
69;recuerda
69;trayectoria
69;vocacion
68;amistades
68;charrua.
68;dia....
68;httpstcoipjiaehoipjiaehfiql
68;httpstcoxgxejsycdk
68;leer
68;militancia
68;nicolasmaduro
68;puente
68;qpd
68;republicano
68;romano
68;sabia
68;vivio
68;X.habraconsecuencias
68;X.lamafiachoriplanera
67;ancianos
67;ayuda
67;leerle
67;molino
67;mvd
67;sepultado
67;tabarevazquez
66;acompanamos
66;calle
66;cambiaron
66;cancilleriaec
66;hermoso
66;httpstcobyqlozsr
66;httpstcoemdvnrqg
66;palabra
66;respuesta
66;sospechoso
66;tuerto
66;vivimos
65;carolina
65;cielo.
65;consejos
65;empuja
65;fracaso
65;gobierno.
65;jovenes
65;pobres.
65;ponerle
65;promocion
65;que
65;varias
65;X.entregado
65;X.U.0001F449.
65;X.U.270C..U.270C..U.270C..U.270C.
64;arbol
64;blanco
64;busqueda
64;carnero
64;chile
64;cuidados
64;ddhh
64;destaquen
64;dignidad
64;fotos
64;httpstcovswdwsoo
64;impulsara
64;joven
64;mierda
64;muchisimo
64;presentes
64;recordara
64;senal
64;toquen
63;aflojo
63;aquellos
63;arielb
63;fallecidos
63;formacion
63;httpstcoeroylcmwnd
63;httpstcofoprwptyqc
63;httpstcozxueigpkx
63;idea
63;igualitario
63;policia
63;problema
63;progresiva
63;responsabilidad
63;senador
63;sorpresa
63;via
63;volver
63;X.U.26AB..U.FE0F.
62;acepto
62;apriete
62;comision
62;creo
62;desconocida
62;extendio
62;habla
62;httpstcomjuyqnbz
62;juan
62;latin
62;tarde
62;trampas
62;vazquezun
62;vecinos
62;venia
61;blancospillos
61;cayo
61;clasificable
61;constitutiva
61;digital
61;empezo
61;httpstcopvednrad
61;humildes
61;importa
61;informalidadmuere
61;logro
61;pierde
61;preguntale
61;reforma
61;respectivos
61;siglo
61;talla
61;tremendo
61;uma
60;admire
60;alla
60;canal
60;devolvio
60;ele
60;elespectador
60;have
60;httpstcopegxcjxp
60;laboral
60;marconi
60;obra
60;redes
60;sudamericano
60;superiores
60;trajo
60;varios
59;debo
59;destapar
59;dormir
59;emociona
59;httpstcoqcitklctu
59;httpstcouwlsukfn
59;httpstcozortcuepb
59;modelo
59;moralmente
59;public
59;reformas
59;siento
59;situacion
59;X.U.0001D5F5..U.0001D5EE..U.0001D606.
59;X.U.0001D5F5..U.0001D5FC..U.0001D5FB..U.0001D5FF..U.0001D5EE..U.0001D5FF.
59;X.U.0001D5F9..U.0001D5EE.
59;X.U.0001D5FE..U.0001D602..U.0001D5F2.
59;X.U.0001D603..U.0001D5F6..U.0001D5F1..U.0001D5EE.
58;actores
58;brazos
58;cambia
58;cementerio
58;confesar
58;construir
58;defensor
58;denominacion
58;desaparicion
58;holgadamente
58;juventud
58;muerto
58;nego
58;noticias
58;presupuesto
58;progresooficial
58;segun
58;tanta
57;acerca
57;atletico
57;avion
57;candia
57;correr
57;death
57;escombros
57;httpstcoeumhywgz
57;latirderojo
57;mantenga
57;parecia
57;periodo
57;ramirez
57;recordando
57;twitter
56;admirable
56;bandera
56;barro
56;cartas
56;chavez
56;clientelismo
56;digna
56;gueno
56;hastasiempretabare
56;httpstcoqirmqowawc
56;httpstcovfelndloot
56;ido
56;invito
56;jamas
56;lenin
56;levantado
56;lloran
56;lost
56;luislacallepou
56;mensajeros
56;ministros
56;parecida
56;primero.U.0001F447..U.0001F3FD.
56;prioridades
56;relato
56;VERDADERO
55;americas
55;cientifico
55;cubano
55;destacando
55;destrabar
55;existencia
55;guardan
55;httpstcofpocfeuz
55;httpstcogwcnbzcrs
55;httpstcolhnlzohd
55;inclusivo
55;lagrimas
55;minutos
55;parado
55;perseguir
55;psicopatas
55;recordaron
55;region
55;renda
55;responsable
55;torno
55;youtube
54;abril
54;admiro
54;auxiliadora
54;buena
54;conciencia
54;diabladahc
54;distinguido
54;excelente
54;figuras
54;fruta
54;haga
54;httpstcofnqmoqre
54;httpstcofpbwqkeipg
54;ladiaria
54;libertad
54;mastemprano
54;oreiro
54;perder
54;piloto
54;serrat
53;alvaro
53;comunicamos
53;discusion
53;domesticas
53;ellegadotabare
53;homenajear
53;httpstcokuofhdxqae
53;httpstcorpwgtnlzs
53;local
53;natalia
53;recordo
53;salir
53;seguidores
53;testimonio
52;acompanamiento
52;alrededor
52;balada
52;brinda
52;callan
52;cielo
52;declaraciones
52;diferente
52;elecciones
52;grado
52;httpstcosypaeqf
52;informa
52;luchando
52;lugar
52;organizo
52;padecia
52;patetica
52;patriada
52;respetuosas
52;senalar
52;sos
52;transmitio
52;viejossi
51;agradecido
51;alcanzan
51;alguien
51;alguno
51;articulo
51;ayudar
51;cantidad
51;conmueve
51;emitido
51;httpstcovoqkjljvb
51;pronunciamiento
51;punto
